I区货架号,水果种类,II区货架号,水果种类
"=""1-1""",apple,"=""2-1""",
"=""1-2""",banana,"=""2-2""",
"=""1-3""",apple,"=""2-3""",
"=""1-4""",banana,"=""2-4""",
"=""1-5""",,"=""2-5""",apple
"=""1-6""",,"=""2-6""",watermelon
"=""1-7""",,"=""2-7""",watermelon
"=""1-8""",,"=""2-8""",apple
"=""1-9""",banana,"=""2-9""",orange
"=""1-10""",apple,"=""2-10""",other
"=""1-11""",banana,"=""2-11""",watermelon
"=""1-12""",orange,"=""2-12""",apple
