房间,好人,坏人
1-1,1,2
1-2,3,0
1-3,2,1
1-4,0,0
1-5,0,0
1-6,0,0
1-7,0,0
1-8,0,0
2-1,0,0
2-2,0,0
2-3,0,0
2-4,0,0
2-5,0,0
2-6,0,0
2-7,0,0
2-8,0,0
1-10,1,2
1-11,1,1
1-12,2,1
1-9,0,1
2-10,1,2
2-11,0,3
2-12,1,0
2-9,0,0
